Year,Quarter,Month number,Region,Offence category,Offence type,Alcohol involvement,DV involvement,Total_population,Aboriginal,Non-Aboriginal,Male,Female,Pop_age_0,Pop_age_10,Pop_age_15,Pop_age_20,Pop_age_25,Pop_age_30,Pop_age_35,Pop_age_40,Pop_age_45,Pop_age_5,Pop_age_50,Pop_age_55,Pop_age_60,Pop_age_65,Pop_age_70,Pop_age_75,Pop_age_80,Pop_age_85plus,Cask Wine PAC,Bottled Wine PAC,Fortified Wine PAC,Cider PAC,Standard Spirits PAC,Mixed Spirits PAC,Full-Strength Beer PAC,Mid-Strength Beer PAC,Low-Strength Beer PAC,Total PAC,Number of offences,Alcohol_offences,DV_offences
2015,1,1,Top End,062 Burglary - non-residential,Commercial break-ins attempted,0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,2,0,0
2015,1,1,Top End,07 Theft,Illegal use of a motor vehicle,0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,4,0,0
2015,1,1,Top End,07 Theft,Theft and related offences (other than MV),0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,14,0,0
2015,1,1,Top End,07 Theft,Theft of motor vehicle parts or contents,0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,1,0,0
2015,1,1,Top End,11 Property damage offences,Property damage offences,0,0,16915,11935,4980,8820,8095,1540,1442,1399,1473,1527,1409,1169,1125,1035,1571,968,830,634,418,203,96,50,26,,,,,,,,,,,33,0,0
2015,1,2,Barkly,02 Assault,Assault,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,3,0,0
2015,1,2,Barkly,02 Assault,Assault,0,1,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,14,0,14
2015,1,2,Barkly,02 Assault,Assault,1,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,4,4,0
2015,1,2,Barkly,02 Assault,Assault,1,1,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,12,12,12
2015,1,2,Barkly,03 Sexual offences,Sexual assault,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,1,0,0
2015,1,2,Barkly,062 Burglary - non-residential,Commercial break-ins actual,0,0,7544,5101,2443,3780,3764,683,531,619,662,721,592,477,458,461,683,389,373,363,228,172,63,32,37,,,,,,,,,,,5,0,0
