Year,Status,Sex,Age Group,Aboriginal status,Region,Population
1986,Final,Female,70-,Aboriginal,Big Rivers,20
1986,Final,Female,70-,Aboriginal,Central Australia,36
1986,Final,Female,70-,Aboriginal,East Arnhem,4
1986,Final,Female,70-,Aboriginal,Greater Darwin,10
1986,Final,Female,70-,Aboriginal,Top End,9
1986,Final,Female,70-,Non-Aboriginal,Barkly,5
1986,Final,Female,70-,Non-Aboriginal,Big Rivers,28
1986,Final,Female,70-,Non-Aboriginal,Central Australia,76
1986,Final,Female,70-,Non-Aboriginal,East Arnhem,0
1986,Final,Female,70-,Non-Aboriginal,Greater Darwin,289
1986,Final,Female,70-,Non-Aboriginal,Top End,13
1986,Final,Male,75-,Aboriginal,Barkly,4
1986,Final,Male,75-,Aboriginal,Big Rivers,9
1986,Final,Male,75-,Aboriginal,Central Australia,15
1986,Final,Male,75-,Aboriginal,East Arnhem,4
1986,Final,Male,75-,Aboriginal,Greater Darwin,3
1986,Final,Male,75-,Aboriginal,Top End,5
1986,Final,Male,75-,Non-Aboriginal,Barkly,6
1986,Final,Male,75-,Non-Aboriginal,Big Rivers,28
1986,Final,Male,75-,Non-Aboriginal,Central Australia,47
1986,Final,Male,75-,Non-Aboriginal,East Arnhem,0
1986,Final,Male,75-,Non-Aboriginal,Greater Darwin,174
1986,Final,Male,75-,Non-Aboriginal,Top End,7
1986,Final,Female,75-,Aboriginal,Barkly,7
1986,Final,Female,75-,Aboriginal,Big Rivers,6
1986,Final,Female,75-,Aboriginal,Central Australia,22
1986,Final,Female,75-,Aboriginal,East Arnhem,1
1986,Final,Female,75-,Aboriginal,Greater Darwin,9
1986,Final,Female,75-,Aboriginal,Top End,8
1986,Final,Female,75-,Non-Aboriginal,Barkly,4
1986,Final,Female,75-,Non-Aboriginal,Big Rivers,13
1986,Final,Female,75-,Non-Aboriginal,Central Australia,52
1986,Final,Female,75-,Non-Aboriginal,East Arnhem,0
1986,Final,Female,75-,Non-Aboriginal,Greater Darwin,169
1986,Final,Female,75-,Non-Aboriginal,Top End,4
1986,Final,Male,80-,Aboriginal,Barkly,1
1986,Final,Male,80-,Aboriginal,Big Rivers,3
1986,Final,Male,80-,Aboriginal,Central Australia,7
1986,Final,Male,80-,Aboriginal,East Arnhem,1
1986,Final,Male,80-,Aboriginal,Greater Darwin,1
1986,Final,Male,80-,Aboriginal,Top End,1
1986,Final,Male,80-,Non-Aboriginal,Barkly,2
1986,Final,Male,80-,Non-Aboriginal,Big Rivers,8
1986,Final,Male,80-,Non-Aboriginal,Central Australia,18
1986,Final,Male,80-,Non-Aboriginal,East Arnhem,0
1986,Final,Male,80-,Non-Aboriginal,Greater Darwin,66
1986,Final,Male,80-,Non-Aboriginal,Top End,2
1986,Final,Female,80-,Aboriginal,Barkly,5
1986,Final,Female,80-,Aboriginal,Big Rivers,3
1986,Final,Female,80-,Aboriginal,Central Australia,9
1986,Final,Female,80-,Aboriginal,East Arnhem,0
1986,Final,Female,80-,Aboriginal,Greater Darwin,6
1986,Final,Female,80-,Aboriginal,Top End,5
1986,Final,Female,80-,Non-Aboriginal,Barkly,4
1986,Final,Female,80-,Non-Aboriginal,Big Rivers,9
1986,Final,Female,80-,Non-Aboriginal,Central Australia,31
1986,Final,Female,80-,Non-Aboriginal,East Arnhem,0
1986,Final,Female,80-,Non-Aboriginal,Greater Darwin,86
1986,Final,Female,80-,Non-Aboriginal,Top End,3
1986,Final,Male,85+,Aboriginal,Barkly,0
1986,Final,Male,85+,Aboriginal,Big Rivers,2
1986,Final,Male,85+,Aboriginal,Central Australia,4
1986,Final,Male,85+,Aboriginal,East Arnhem,1
1986,Final,Male,85+,Aboriginal,Greater Darwin,1
1986,Final,Male,85+,Aboriginal,Top End,1
1986,Final,Male,85+,Non-Aboriginal,Barkly,5
1986,Final,Male,85+,Non-Aboriginal,Big Rivers,8
1986,Final,Male,85+,Non-Aboriginal,Central Australia,21
1986,Final,Male,85+,Non-Aboriginal,East Arnhem,1
1986,Final,Male,85+,Non-Aboriginal,Greater Darwin,27
1986,Final,Male,85+,Non-Aboriginal,Top End,2
1986,Final,Female,85+,Aboriginal,Barkly,4
1986,Final,Female,85+,Aboriginal,Big Rivers,6
1986,Final,Female,85+,Aboriginal,Central Australia,9
1986,Final,Female,85+,Aboriginal,East Arnhem,0
1986,Final,Female,85+,Aboriginal,Greater Darwin,2
1986,Final,Female,85+,Aboriginal,Top End,2
1986,Final,Female,85+,Non-Aboriginal,Barkly,3
1986,Final,Female,85+,Non-Aboriginal,Big Rivers,7
1986,Final,Female,85+,Non-Aboriginal,Central Australia,16
1986,Final,Female,85+,Non-Aboriginal,East Arnhem,0
1986,Final,Female,85+,Non-Aboriginal,Greater Darwin,75
1986,Final,Female,85+,Non-Aboriginal,Top End,2
1987,Final,Male,0-,Aboriginal,Barkly,244
1987,Final,Male,0-,Aboriginal,Big Rivers,468
1987,Final,Male,0-,Aboriginal,Central Australia,732
1987,Final,Male,0-,Aboriginal,East Arnhem,432
1987,Final,Male,0-,Aboriginal,Greater Darwin,423
1987,Final,Male,0-,Aboriginal,Top End,469
1987,Final,Male,0-,Non-Aboriginal,Barkly,111
1987,Final,Male,0-,Non-Aboriginal,Big Rivers,449
1987,Final,Male,0-,Non-Aboriginal,Central Australia,837
1987,Final,Male,0-,Non-Aboriginal,East Arnhem,190
1987,Final,Male,0-,Non-Aboriginal,Greater Darwin,3678
1987,Final,Male,0-,Non-Aboriginal,Top End,119
1987,Final,Female,0-,Aboriginal,Barkly,250
1987,Final,Female,0-,Aboriginal,Big Rivers,476
1987,Final,Female,0-,Aboriginal,Central Australia,700
1987,Final,Female,0-,Aboriginal,East Arnhem,346
1987,Final,Female,0-,Aboriginal,Greater Darwin,408
1987,Final,Female,0-,Aboriginal,Top End,500
1987,Final,Female,0-,Non-Aboriginal,Barkly,82
1987,Final,Female,0-,Non-Aboriginal,Big Rivers,438
1987,Final,Female,0-,Non-Aboriginal,Central Australia,872
1987,Final,Female,0-,Non-Aboriginal,East Arnhem,183
1987,Final,Female,0-,Non-Aboriginal,Greater Darwin,3573
1987,Final,Female,0-,Non-Aboriginal,Top End,107
1987,Final,Male,10-,Aboriginal,Barkly,213
1987,Final,Male,10-,Aboriginal,Big Rivers,370
1987,Final,Male,10-,Aboriginal,Central Australia,599
1987,Final,Male,10-,Aboriginal,East Arnhem,388
1987,Final,Male,10-,Aboriginal,Greater Darwin,512
1987,Final,Male,10-,Aboriginal,Top End,389
1987,Final,Male,10-,Non-Aboriginal,Barkly,72
1987,Final,Male,10-,Non-Aboriginal,Big Rivers,314
1987,Final,Male,10-,Non-Aboriginal,Central Australia,784
1987,Final,Male,10-,Non-Aboriginal,East Arnhem,207
1987,Final,Male,10-,Non-Aboriginal,Greater Darwin,3521
1987,Final,Male,10-,Non-Aboriginal,Top End,96
1987,Final,Female,10-,Aboriginal,Barkly,195
1987,Final,Female,10-,Aboriginal,Big Rivers,373
1987,Final,Female,10-,Aboriginal,Central Australia,612
1987,Final,Female,10-,Aboriginal,East Arnhem,335
1987,Final,Female,10-,Aboriginal,Greater Darwin,423
1987,Final,Female,10-,Aboriginal,Top End,381
1987,Final,Female,10-,Non-Aboriginal,Barkly,54
1987,Final,Female,10-,Non-Aboriginal,Big Rivers,241
1987,Final,Female,10-,Non-Aboriginal,Central Australia,675
1987,Final,Female,10-,Non-Aboriginal,East Arnhem,155
1987,Final,Female,10-,Non-Aboriginal,Greater Darwin,3279
1987,Final,Female,10-,Non-Aboriginal,Top End,57
1987,Final,Male,15-,Aboriginal,Barkly,216
1987,Final,Male,15-,Aboriginal,Big Rivers,359
1987,Final,Male,15-,Aboriginal,Central Australia,536
1987,Final,Male,15-,Aboriginal,East Arnhem,366
